Interprete;Sesso
Nicky Nicolai e Stefano Di Battista;G
Afterhours;G
Valerio Scanu;M
Pupo ed Emanuele Filiberto con Luca Canonici;G
Marco Mengoni;M
Noemi;F
Malika Ayane;F
Irene Fornaciari feat. Nomadi;G
Arisa;F
Nino D'Angelo con Maria Nazionale;G
Sonohra;G
Modà con Emma;G
Davide Van De Sfroos;M
Luca Madonia con Franco Battiato;G
La Crus;G
Nathalie;F
Luca Barbarossa e Raquel del Rosario;G
Giusy Ferreri;F
Max Pezzali;M
Emma;F
Gigi D'Alessio e Loredana Bertè;G
Pierdavide Carone e Lucio Dalla;G
Nina Zilli;F
Chiara Civello;F
Irene Fornaciari;F
Marlene Kuntz;G
Raphael Gualazzi;M
Chiara;F
Annalisa;F
Maria Nazionale;F
Marta sui Tubi;F
Simona Molinari con Peter Cincotti;G
Almamegretta;G
Raphael Gualazzi & The Bloody Beetroots;G
Renzo Rubino;M
Perturbazione;G
Francesco Sarcina;M
Giuliano Palma;M
Riccardo Sinigallia;M
Il Volo;G
Dear Jack;G
Lorenzo Fragola;M
Nesli;M
Bianca Atzei;F
Moreno;M
Grazia Di Michele e Mauro Coruzzi;G
Biggio e Mandelli;G
Lara Fabian;F
Francesca Michielin;F
Giovanni Caccamo e Deborah Iurato;G
Clementino;M
Rocco Hunt;M
Alessio Bernabei;M
Francesco Gabbani;M
Ermal Meta;M
Michele Bravi;M
Sergio Sylvestre;M
Elodie;F
Samuel;M
Lodovica Comello;F
Nesli & Alice Paba;G
Raige e Giulia Luzi;G
Ermal Meta e Fabrizio Moro;G
Lo Stato Sociale;G
Ornella Vanoni con Bungaro e Pacifico;G
Diodato e Roy Paci;G
The Kolors;G
Giovanni Caccamo;M
Enzo Avitabile con Peppe Servillo;G
Red Canzian;M
Roby Facchinetti e Riccardo Fogli;G
Mario Biondi;M
Mahmood;M
Ultimo;M
Irama;M
Achille Lauro;M
Enrico Nigiotti;M
Boomdabash;G
Ghemon;M
Ex-Otago;G
Motta;M
The Zen Circus;G
Federica Carta e Shade;G
Patty Pravo con Briga;G
Einar;M
Nino D'Angelo e Livio Cori;G
Diodato;M
Pinguini Tattici Nucleari;G
Piero Pelù;M
Rancore;M
Levante;F
Anastasio;M
Alberto Urso;M
Paolo Jannacci;M
Giordana Angi;F
Elettra Lamborghini;F
Junior Cally;M
Riki;M
Bugo e Morgan;G
Måneskin;G
Francesca Michielin e Fedez;G
Colapesce Dimartino;G
Irama[20];M
Willie Peyote;M
Madame;F
La Rappresentante di Lista;G
Extraliscio feat. Davide Toffolo;G
Fulminacci;M
Fasma;G
Gaia;F
Coma_Cose;G
Gio Evan;M
Bugo;M
Aiello;M
Random;M
Mahmood e Blanco;G
Sangiovanni;M
Dargen D'Amico;M
Matteo Romano;M
AKA 7even;M
Achille Lauro con Harlem Gospel Choir;G
Ditonellapiaga e Rettore;G
Rkomi;M
Giovanni Truppi;M
Highsnob e Hu;G
Yuman;M
Ana Mena;F
Tananai;M
Lazza;M
Mr. Rain;M
Rosa Chemical;M
Ariete;F
LDA;G
Articolo 31;G
Leo Gassmann;M
Mara Sattei;F
Colla Zio;G
Cugini di Campagna;G
Gianmaria;M
Olly;M
Will;M
Shari;F
Sethu;M
