Interprete;Sesso
Luciano Rondinella - Edoardo Vianello;G
Miranda Martino - Jimmy Fontana;G
Joe Sentieri - Betty Curtis;G
Claudio Villa - Sergio Renda;G
Aura D'Angelo - Silvia Guidi;G
Gianni Meccia - Wilma De Angelis;G
Tony Renis - Niki Davis;G
Cocky Mazzetti - Achille Togliani;G
Carla Boni - Aurelio Fierro;G
Nadia Liani - Jolanda Rossin;G
Domenico Modugno - Claudio Villa;G
Sergio Bruni - Milva;G
Sergio Bruni - Ernesto Bonino;G
Tony Renis - Emilio Pericoli;G
Milva - Miriam Del Mare;G
Gino Bramieri - Aurelio Fierro;G
Arturo Testa - Jolanda Rossin;G
Joe Sentieri - Aurelio Fierro;G
Tonina Torrielli - Nelly Fioramonti;G
Flo Sandon's - Mario D'Alba;G
Nunzio Gallo - Rocco Montana;G
Silvia Guidi - Jenny Luna;G
Fausto Cigliano - Jenny Luna;G
Rossana - Gian Costello;G
Wanda Romanelli - Nelly Fioramonti;G
Wilma De Angelis - Tanya;G
Luciano Tajoli - Betty Curtis;G
Gesy Sebena - Giacomo Rondinella;G
Gene Colonnello - Gloria Christian;G
Corrado Lojacono - Luciano Tajoli;G
Johnny Dorelli - Gloria Christian;G
Nunzio Gallo - Bruna Lelli;G
Wilma De Angelis - Lucia Altieri;G
Pierfilippi - Cocky Mazzetti;G
Gino Bramieri - Rocco Torrebruno;G
Flo Sandon's - Edda Montanari;G
Aura D'Angelo - Claudio Villa;G
Cocky Mazzetti - Joe Sentieri;G
Mario Abbate - Fausto Cigliano;G
Narciso Parigi - Giorgio Consolini;G
Claudio Villa - Eugenia Foligatti;G
Pino Donaggio - Cocky Mazzetti;G
Wilma De Angelis - Johnny Dorelli;G
Milva - Luciano Tajoli;G
Tonina Torrielli - Eugenia Foligatti;G
Aurelio Fierro - Claudio Villa;G
Emilio Pericoli - Sergio Bruni;G
Aura D'Angelo - Arturo Testa;G
Milva - Gianni Lacommare;G
Gianni Lacommare - Tonina Torrielli;G
Joe Sentieri - Johnny Dorelli;G
Ennio Sangiusto - Quartetto Radar;G
Ennio Sangiusto - Luciano Tajoli;G
Mario Abbate - Quartetto Radar;G
Tony Renis - Cocky Mazzetti;G
Arturo Testa - Joe Sentieri;G
Wilma De Angelis - Flo Sandon's;G
Aurelio Fierro - Sergio Bruni;G
Mario Abbate - Flo Sandon's;G
Gigliola Cinquetti - Patricia Carli;G
Domenico Modugno - Frankie Laine;G
Tony Dallara - Ben E. King;G
Gino Paoli - Antonio Prieto;G
Fabrizio Ferretti - Gil Fields e The Fraternity Brothers;G
Pino Donaggio - Frankie Avalon;G
Roby Ferrante - Paul Anka;G
Little Tony - Gene Pitney;G
Bruno Filippini - Gil Fields e The Fraternity Brothers;G
Remo Germani - Nino Tempo e April Stevens;G
Robertino - Bobby Rydell;G
Bobby Solo - Frankie Laine;G
Giorgio Gaber - Patricia Carli;G
Fausto Cigliano - Gene Pitney;G
Tony Renis - Frankie Avalon;G
Piero Focaccia - Bobby Rydell;G
Milva - Frida Boccara;G
Cocky Mazzetti - Los Hermanos Rigual;G
Claudio Villa - Peggy March;G
Emilio Pericoli - Peter Kraus;G
Aurelio Fierro - Marina Moran;G
Laura Villa - Los Hermanos Rigual;G
Lilly Bonato - Richard Moser jr.;G
Nicola Arigliano - Peter Kraus;G
Bobby Solo - The New Christy Minstrels;G
Ornella Vanoni - Udo Jürgens;G
Nicola Di Bari - Gene Pitney;G
Fred Bongusto - Kiki Dee;G
Gigliola Cinquetti - Connie Francis;G
Betty Curtis - Petula Clark;G
Pino Donaggio - Jody Miller;G
Bruno Filippini - Yukari Ito;G
Wilma Goich - The New Christy Minstrels;G
Remo Germani e Le Amiche - Audrey;G
Vittorio Inzaina - Les Surfs;G
Milva - Bernd Spier;G
John Foster - Joe Damiano;G
Ricky Gianco - Jody Miller;G
Gianni Mascolo - Dusty Springfield;G
Don Miko - Timi Yuro;G
Iva Zanicchi - Gene Pitney;G
Bruno Lauzi - Kenny Rankin;G
Giordano Colombo - Hoagy Lands;G
Beppe Cardile - Anita Harris;G
Robertino - Danyel Gérard;G
Franco Tozzi - Johnny Tillotson;G
Peppino Gagliardi - Timi Yuro;G
Fabrizio Ferretti - Dusty Springfield;G
Domenico Modugno - Gigliola Cinquetti;G
Caterina Caselli - Gene Pitney;G
Wilma Goich - Les Surfs;G
Pino Donaggio - Claudio Villa;G
Anna Identici - The New Christy Minstrels;G
